"name"	"taxRank"	"taxID"	"Max"	"C4.16S.txt.cladeReads.."	"lineage"
"Roseburia porci"	"S"	2605790	0.04589	0.04589	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Roseburia"
"Blautia"	"G"	572511	1.154	1.154	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae"
"Blautia argi"	"S"	1912897	0.3507	0.3507	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia"
"Blautia caecimuris"	"S"	1796615	0.2295	0.2295	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia"
"Blautia hydrogenotrophica"	"S"	53443	0.06884	0.06884	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia"
"Blautia luti"	"S"	89014	0.05572	0.05572	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia"
"Blautia liquoris"	"S"	2779518	0.05245	0.05245	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia"
"Blautia faecis"	"S"	871665	0.05245	0.05245	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia"
"Blautia hansenii><wbr>Blautia hansenii DSM 20583"	"-"	537007	0.0295	0.0295	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia>Blautia&nbsp;hansenii"
"Blautia schinkii"	"S"	180164	0.02622	0.02622	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia"
"Blautia producta"	"S"	33035	0.02295	0.02295	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia"
"Blautia producta ATCC 27340 = DSM 2950"	"-"	1121114	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia>Blautia&nbsp;producta"
"Blautia glucerasea"	"S"	536633	0.01967	0.01967	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia"
"Blautia intestinalis"	"S"	2763028	0.01639	0.01639	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia"
"Blautia wexlerae><wbr>Blautia wexlerae DSM 19850"	"-"	1121115	0.01311	0.01311	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia>Blautia&nbsp;wexlerae"
"Blautia provencensis"	"S"	1936059	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia"
"Blautia stercoris"	"S"	871664	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia"
"Blautia phocaeensis"	"S"	1917888	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia"
"Blautia hominis"	"S"	2025493	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia"
"Blautia faecicola"	"S"	2509240	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia"
"Blautia obeum><wbr>Blautia obeum ATCC 29174"	"-"	411459	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Blautia>Blautia&nbsp;obeum"
"Lachnoclostridium"	"G"	1506553	0.7867	0.7867	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae"
"Lachnoclostridium urinimassiliense"	"S"	1852382	0.2	0.2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnoclostridium"
"[Clostridium] hylemonae"	"S"	89153	0.1705	0.1705	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnoclostridium"
"[Clostridium] hylemonae DSM 15053"	"-"	553973	0.02622	0.02622	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnoclostridium>[Clostridium]&nbsp;hylemonae"
"[Clostridium] scindens"	"S"	29347	0.1278	0.1278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnoclostridium"
"Lachnoclostridium edouardi"	"S"	1926283	0.1114	0.1114	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnoclostridium"
"[Clostridium] herbivorans"	"S"	39479	0.06556	0.06556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnoclostridium"
"[Clostridium] methoxybenzovorans><wbr>[Clostridium] methoxybenzovorans SR3"	"-"	1286820	0.06556	0.06556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnoclostridium>[Clostridium]&nbsp;methoxybenzovorans"
"[Clostridium] symbiosum"	"S"	1512	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnoclostridium"
"[Clostridium] fimetarium"	"S"	99656	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnoclostridium"
"[Clostridium] polysaccharolyticum"	"S"	29364	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnoclostridium"
"Lachnoclostridium phocaeense"	"S"	1871021	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnoclostridium"
"Lachnoclostridium phytofermentans"	"S"	66219	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnoclostridium"
"Lachnoclostridium pacaense"	"S"	1917870	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnoclostridium"
"Simiaoa><wbr>Simiaoa hominis"	"S"	2763665	0.7179	0.7179	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Simiaoa"
"Anaerotignum"	"G"	2039240	0.7179	0.7179	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae"
"Anaerotignum faecicola"	"S"	2358141	0.4032	0.4032	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Anaerotignum"
"Anaerotignum aminivorans"	"S"	433287	0.1442	0.1442	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Anaerotignum"
"Anaerotignum lactatifermentans"	"S"	160404	0.059	0.059	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Anaerotignum"
"Anaerotignum neopropionicum"	"S"	36847	0.04261	0.04261	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Anaerotignum"
"Anaerotignum propionicum"	"S"	28446	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Anaerotignum"
"Waltera><wbr>Waltera intestinalis"	"S"	2606635	0.5999	0.5999	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Waltera"
"Frisingicoccus><wbr>Frisingicoccus caecimuris"	"S"	1796636	0.5638	0.5638	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Frisingicoccus"
"Lachnospira"	"G"	28050	0.3802	0.3802	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae"
"Lachnospira eligens><wbr>[Eubacterium] eligens ATCC 27750"	"-"	515620	0.2819	0.2819	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnospira>Lachnospira&nbsp;eligens"
"Lachnospira pectinoschiza"	"S"	28052	0.06228	0.06228	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnospira"
"Syntrophococcus><wbr>Syntrophococcus sucromutans"	"S"	84037	0.3442	0.3442	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Syntrophococcus"
"Anaerostipes"	"G"	207244	0.1573	0.1573	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae"
"Anaerostipes faecalis"	"S"	2738446	0.04589	0.04589	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Anaerostipes"
"Anaerostipes caccae"	"S"	105841	0.03606	0.03606	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Anaerostipes"
"Anaerostipes butyraticus"	"S"	645466	0.0295	0.0295	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Anaerostipes"
"Anaerostipes hadrus"	"S"	649756	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Anaerostipes"
"Anaeromicropila><wbr>Anaeromicropila populeti"	"S"	37658	0.1311	0.1311	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Anaeromicropila"
"Anaerocolumna"	"G"	1843210	0.118	0.118	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae"
"Anaerocolumna chitinilytica"	"S"	1727145	0.03278	0.03278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Anaerocolumna"
"Anaerocolumna xylanovorans"	"S"	100134	0.02622	0.02622	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Anaerocolumna"
"Anaerocolumna aminovalerica"	"S"	1527	0.02295	0.02295	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Anaerocolumna"
"Anaerocolumna cellulosilytica"	"S"	433286	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Anaerocolumna"
"Pseudobutyrivibrio"	"G"	46205	0.07211	0.07211	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae"
"Pseudobutyrivibrio xylanivorans"	"S"	185007	0.03934	0.03934	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Pseudobutyrivibrio"
"Pseudobutyrivibrio ruminis"	"S"	46206	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Pseudobutyrivibrio"
"Faecalicatena"	"G"	2005359	0.06884	0.06884	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae"
"Faecalicatena orotica"	"S"	1544	0.04589	0.04589	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Faecalicatena"
"Faecalicatena contorta"	"S"	39482	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Faecalicatena"
"Faecalicatena faecalis"	"S"	2726362	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Faecalicatena"
"Faecalimonas><wbr>Faecalimonas umbilicata"	"S"	1912855	0.06884	0.06884	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Faecalimonas"
"Muricomes><wbr>Muricomes intestini"	"S"	1796634	0.06884	0.06884	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Muricomes"
"Marvinbryantia><wbr>Marvinbryantia formatexigens"	"S"	168384	0.06556	0.06556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Marvinbryantia"
"Shuttleworthia><wbr>Shuttleworthia satelles><wbr>Shuttleworthia satelles DSM 14600"	"-"	626523	0.06556	0.06556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Shuttleworthia>Shuttleworthia&nbsp;satelles"
"Dorea"	"G"	189330	0.06228	0.06228	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae"
"Dorea longicatena"	"S"	88431	0.03278	0.03278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Dorea"
"Dorea formicigenerans"	"S"	39486	0.01967	0.01967	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Dorea"
"Dorea phocaeensis"	"S"	2040291	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Dorea"
"Coprococcus><wbr>Coprococcus catus"	"S"	116085	0.03278	0.03278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Coprococcus"
"Coprococcus><wbr>Coprococcus eutactus"	"S"	33043	0.02622	0.02622	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Coprococcus"
"Wujia><wbr>Wujia chipingensis"	"S"	2763670	0.05245	0.05245	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Wujia"
"Luxibacter><wbr>Luxibacter massiliensis"	"S"	2219695	0.04917	0.04917	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Luxibacter"
"Agathobacter><wbr>Agathobacter ruminis"	"S"	1712665	0.04917	0.04917	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Agathobacter"
"Merdimonas><wbr>Merdimonas faecis"	"S"	1653435	0.04589	0.04589	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Merdimonas"
"Butyrivibrio"	"G"	830	0.03934	0.03934	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae"
"Butyrivibrio fibrisolvens"	"S"	831	0.01311	0.01311	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Butyrivibrio"
"Butyrivibrio proteoclasticus"	"S"	43305	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Butyrivibrio"
"Butyrivibrio crossotus"	"S"	45851	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Butyrivibrio"
"Butyrivibrio hungatei"	"S"	185008	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Butyrivibrio"
"Kineothrix><wbr>Kineothrix alysoides"	"S"	1469948	0.03606	0.03606	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Kineothrix"
"Lachnospiraceae incertae sedis><wbr>[Eubacterium] rectale><wbr>[Eubacterium] rectale ATCC 33656"	"-"	515619	0.03278	0.03278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lachnospiraceae&nbsp;incertae&nbsp;sedis>[Eubacterium]&nbsp;rectale"
"Jutongia><wbr>Jutongia hominis"	"S"	2763664	0.02295	0.02295	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Jutongia"
"Jutongia><wbr>Jutongia huaianensis"	"S"	2763668	0.009834	0.009834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Jutongia"
"Fusimonas><wbr>Fusimonas intestini"	"S"	1408099	0.0295	0.0295	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Fusimonas"
"Lacrimispora"	"G"	2719231	0.02622	0.02622	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae"
"Lacrimispora sphenoides><wbr>[Clostridium] sphenoides JCM 1415"	"-"	1297793	0.01311	0.01311	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lacrimispora>Lacrimispora&nbsp;sphenoides"
"Lacrimispora celerecrescens><wbr>[Clostridium] celerecrescens 18A"	"-"	1286362	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lacrimispora>Lacrimispora&nbsp;celerecrescens"
"Lacrimispora xylanolytica"	"S"	29375	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lacrimispora"
"Lacrimispora saccharolytica"	"S"	84030	0.003278	0.003278	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Lacrimispora"
"Jingyaoa><wbr>Jingyaoa shaoxingensis"	"S"	2763671	0.02622	0.02622	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Jingyaoa"
"Schaedlerella><wbr>Schaedlerella arabinosiphila"	"S"	2044587	0.02622	0.02622	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Schaedlerella"
"Hespellia"	"G"	241189	0.02295	0.02295	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae"
"Hespellia porcina"	"S"	180286	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Hespellia"
"Hespellia stercorisuis"	"S"	180311	0.006556	0.006556	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Lachnospiraceae>Hespellia"
